Event_date,Site,Latitude,Longitude,Measurement_type,Measurement
2020-10-05T07:00:00Z,Beeline_trib,33.9131,-111.49711,Sensor_sum,2
2020-05-03T07:00:00Z,Beeline_trib,33.9131,-111.49711,Sensor_sum,4
2021-09-05T07:00:00Z,Beeline_trib,33.9131,-111.49711,Sensor_sum,3
2021-03-29T07:00:00Z,Beeline_trib,33.9131,-111.49711,Sensor_sum,3
2020-07-10T07:00:00Z,Beeline_trib,33.9131,-111.49711,Sensor_sum,2
2020-08-22T07:00:00Z,Beeline_trib,33.9131,-111.49711,Sensor_sum,2
2021-04-03T07:00:00Z,Beeline_trib,33.9131,-111.49711,Sensor_sum,3
2020-08-27T07:00:00Z,Beeline_trib,33.9131,-111.49711,Sensor_sum,2
2020-11-13T07:00:00Z,Beeline_trib,33.9131,-111.49711,Sensor_sum,2
2020-10-11T07:00:00Z,Beeline_trib,33.9131,-111.49711,Sensor_sum,2
2021-04-29T07:00:00Z,Beeline_trib,33.9131,-111.49711,Sensor_sum,2
2021-08-05T07:00:00Z,Beeline_trib,33.9131,-111.49711,Sensor_sum,3
2021-02-26T07:00:00Z,Beeline_trib,33.9131,-111.49711,Sensor_sum,3
2020-08-05T07:00:00Z,Beeline_trib,33.9131,-111.49711,Sensor_sum,2
2020-07-08T07:00:00Z,Beeline_trib,33.9131,-111.49711,Sensor_sum,2
2020-11-30T07:00:00Z,Beeline_trib,33.9131,-111.49711,Sensor_sum,2
2022-01-29T07:00:00Z,Beeline_trib,33.9131,-111.49711,Sensor_sum,4
2021-10-08T07:00:00Z,Beeline_trib,33.9131,-111.49711,Sensor_sum,3
2020-02-01T07:00:00Z,Beeline_trib,33.9131,-111.49711,Sensor_sum,5
2020-11-11T07:00:00Z,Beeline_trib,33.9131,-111.49711,Sensor_sum,2
2020-11-24T07:00:00Z,Beeline_trib,33.9131,-111.49711,Sensor_sum,2
2021-11-24T07:00:00Z,Beeline_trib,33.9131,-111.49711,Sensor_sum,2
2021-03-04T07:00:00Z,Beeline_trib,33.9131,-111.49711,Sensor_sum,3
2021-03-28T07:00:00Z,Beeline_trib,33.9131,-111.49711,Sensor_sum,3
2020-01-29T07:00:00Z,Beeline_trib,33.9131,-111.49711,Sensor_sum,5
2021-05-02T07:00:00Z,Beeline_trib,33.9131,-111.49711,Sensor_sum,2
2020-11-23T07:00:00Z,Beeline_trib,33.9131,-111.49711,Sensor_sum,2
2021-08-15T07:00:00Z,Beeline_trib,33.9131,-111.49711,Sensor_sum,5
2020-11-12T07:00:00Z,Beeline_trib,33.9131,-111.49711,Sensor_sum,2
2020-01-17T07:00:00Z,Beeline_trib,33.9131,-111.49711,Sensor_sum,5
2020-12-11T07:00:00Z,Beeline_trib,33.9131,-111.49711,Sensor_sum,2
2020-05-14T07:00:00Z,Beeline_trib,33.9131,-111.49711,Sensor_sum,3
2020-10-01T07:00:00Z,Beeline_trib,33.9131,-111.49711,Sensor_sum,2
2020-02-11T07:00:00Z,Beeline_trib,33.9131,-111.49711,Sensor_sum,5
2021-11-19T07:00:00Z,Beeline_trib,33.9131,-111.49711,Sensor_sum,2
