"","SampleID","Site","Type","Bottle_number","Analyte","dilution","Peak_Concentration","Concentration_Units","Rep","Event_Date","Date","time","Stage","Notes","Lab","missing","Sample_ID_NOTES","cations_now"
"3946","1138","RC","ISCO","14.0","TOC",1,15.75,"mg/L","1.0",2021-08-18,2021-08-18,1899-12-31 19:21:00,"flood",NA,"GEL",NA,NA,NA
"3947","1139","RC","ISCO","14.0","TOC",1,17.2,"mg/L","2.0",2021-08-18,2021-08-18,1899-12-31 19:21:00,"flood",NA,"GEL",NA,NA,NA
"3948","1140","RC","ISCO","12.0","TOC",1,17.23,"mg/L","1.0",2021-08-18,2021-08-18,1899-12-31 17:51:00,"flood",NA,"GEL",NA,NA,NA
"3949","1141","RC","ISCO","12.0","TOC",1,15.45,"mg/L","2.0",2021-08-18,2021-08-18,1899-12-31 17:51:00,"flood",NA,"GEL",NA,NA,NA
"3950","1142","RC","ISCO","13.0","TOC",1,15.3,"mg/L","1.0",2021-08-18,2021-08-18,1899-12-31 18:21:00,"flood",NA,"GEL",NA,NA,NA
"3951","1143","RC","ISCO","13.0","TOC",1,13.82,"mg/L","2.0",2021-08-18,2021-08-18,1899-12-31 18:21:00,"flood",NA,"GEL",NA,NA,NA
"3952","1144","RC","ISCO","16.0","TOC",1,9.201,"mg/L","1.0",2021-08-18,2021-08-18,1899-12-31 21:21:00,"flood",NA,"GEL",NA,NA,NA
"3953","1145","CC","ISCO","22.0","TOC",1,11.22,"mg/L","2.0",2021-08-18,2021-08-19,1899-12-31 02:07:00,"flood",NA,"GEL",NA,NA,NA
"3954","1146","CC","ISCO","7.0","TOC",1,10.8,"mg/L","1.0",2021-07-25,2021-07-25,1899-12-31 17:50:00,"flood",NA,"GEL",NA,NA,NA
"3955","1147","CC","ISCO","10.0","TOC",1,10.68,"mg/L","2.0",2021-07-25,2021-07-25,1899-12-31 18:35:00,"flood",NA,"GEL",NA,NA,NA
"3956","1148","CC","ISCO","10.0","TOC",1,10.25,"mg/L","1.0",2021-07-25,2021-07-25,1899-12-31 18:35:00,"flood",NA,"GEL",NA,NA,NA
"3957","1149","CC","ISCO","8.0","TOC",1,10.49,"mg/L","2.0",2021-07-25,2021-07-25,1899-12-31 18:05:00,"flood",NA,"GEL",NA,NA,NA
"3958","1150","CC","ISCO","8.0","TOC",1,10.47,"mg/L","1.0",2021-07-25,2021-07-25,1899-12-31 18:05:00,"flood",NA,"GEL",NA,NA,NA
"3959","1151","CC","ISCO","14.0","TOC",1,10.13,"mg/L","2.0",2021-07-25,2021-07-25,1899-12-31 20:20:00,"flood",NA,"GEL",NA,NA,NA
"3960","1152","CC","ISCO","14.0","TOC",1,10.77,"mg/L","1.0",2021-07-25,2021-07-25,1899-12-31 20:20:00,"flood",NA,"GEL",NA,NA,NA
"3961","1153","CC","ISCO","9.0","TOC",1,10.57,"mg/L","2.0",2021-07-25,2021-07-25,1899-12-31 18:20:00,"flood",NA,"GEL",NA,NA,NA
"3962","1154","CC","ISCO","9.0","TOC",1,12.44,"mg/L","1.0",2021-07-25,2021-07-25,1899-12-31 18:20:00,"flood",NA,"GEL",NA,NA,NA
"3963","1156","CC","ISCO","21.0","TOC",1,10.47,"mg/L","1.0",2021-07-25,2021-07-26,1899-12-31 03:20:00,"flood",NA,"GEL",NA,NA,NA
"3964","1157","CC","ISCO","22.0","TOC",1,10.26,"mg/L","2.0",2021-07-25,2021-07-26,1899-12-31 04:20:00,"flood",NA,"GEL",NA,NA,NA
"3965","1158","CC","ISCO","22.0","TOC",1,10.25,"mg/L","1.0",2021-07-25,2021-07-26,1899-12-31 04:20:00,"flood",NA,"GEL",NA,NA,NA
"3966","1159","CC","ISCO","11.0","TOC",1,10.84,"mg/L","2.0",2021-07-25,2021-07-25,1899-12-31 18:50:00,"flood",NA,"GEL",NA,NA,NA
"3967","1160","CC","ISCO","11.0","TOC",1,10.65,"mg/L","1.0",2021-07-25,2021-07-25,1899-12-31 18:50:00,"flood",NA,"GEL",NA,NA,NA
"3968","1161","CC","ISCO","21.0","TOC",1,10.53,"mg/L","2.0",2021-07-25,2021-07-26,1899-12-31 03:20:00,"flood",NA,"GEL",NA,NA,NA
"3969","1162","CC","ISCO","20.0","TOC",1,10.82,"mg/L","1.0",2021-07-25,2021-07-26,1899-12-31 02:20:00,"flood",NA,"GEL",NA,NA,NA
"3970","1163","CC","ISCO","2.0","TOC",1,13.46,"mg/L","1.0",2021-07-25,2021-07-25,1899-12-31 16:20:00,"flood",NA,"GEL",NA,NA,NA
"3971","1164","CC","ISCO","2.0","TOC",1,13.29,"mg/L","2.0",2021-07-25,2021-07-25,1899-12-31 16:20:00,"flood",NA,"GEL",NA,NA,NA
"3972","1165","CC","ISCO","18.0","TOC",1,10.28,"mg/L","1.0",2021-07-25,2021-07-26,1900-01-01 00:20:00,"flood",NA,"GEL",NA,NA,NA
"3973","1166","CC","ISCO","18.0","TOC",1,10.12,"mg/L","2.0",2021-07-25,2021-07-26,1900-01-01 00:20:00,"flood",NA,"GEL",NA,NA,NA
"3974","1167","CC","ISCO","3.0","TOC",1,12.7,"mg/L","1.0",2021-07-25,2021-07-25,1899-12-31 16:50:00,"flood",NA,"GEL",NA,NA,NA
"3975","1168","CC","ISCO","3.0","TOC",1,NA,NA,"2.0",2021-07-25,2021-07-25,1899-12-31 16:50:00,"flood","vial was broken lost sample","GEL",NA,NA,NA
"3976","1169","SS","ISCO","2.0","TOC",1,14.35,"mg/L","1.0",2021-07-25,2021-07-25,1899-12-31 16:50:00,"flood",NA,"GEL",NA,NA,NA
"3977","1170","SS","ISCO","2.0","TOC",1,12.89,"mg/L","2.0",2021-07-25,2021-07-25,1899-12-31 16:50:00,"flood",NA,"GEL",NA,NA,NA
"3978","1171","CC","ISCO","11.0","TOC",1,10.93,"mg/L","1.0",2021-08-12,2021-08-12,1899-12-31 11:25:00,"flood",NA,"GEL",NA,NA,NA
"3979","1172","CC","ISCO","11.0","TOC",1,10.71,"mg/L","2.0",2021-08-12,2021-08-12,1899-12-31 11:25:00,"flood",NA,"GEL",NA,NA,NA
"3980","1173","CC","ISCO","10.0","TOC",1,10.55,"mg/L","1.0",2021-08-12,2021-08-12,1899-12-31 11:10:00,"flood",NA,"GEL",NA,NA,NA
"3981","1174","CC","ISCO","10.0","TOC",1,9.251,"mg/L","2.0",2021-08-12,2021-08-12,1899-12-31 11:10:00,"flood",NA,"GEL",NA,NA,NA
"3982","1175","CC","ISCO","9.0","TOC",1,10.76,"mg/L","2.0",2021-08-12,2021-08-12,1899-12-31 10:55:00,"flood",NA,"GEL",NA,NA,NA
"3983","1176","CC","ISCO","13.0","TOC",1,10.76,"mg/L","2.0",2021-08-12,2021-08-12,1899-12-31 11:56:00,"flood",NA,"GEL",NA,NA,NA
"3984","1177","CC","ISCO","13.0","TOC",1,10.55,"mg/L","1.0",2021-08-12,2021-08-12,1899-12-31 11:56:00,"flood",NA,"GEL",NA,NA,NA
"3985","1178","CC","ISCO","14.0","TOC",1,10.82,"mg/L","1.0",2021-08-12,2021-08-12,1899-12-31 12:56:00,"flood",NA,"GEL",NA,NA,NA
"3986","1179","CC","ISCO","14.0","TOC",1,10.52,"mg/L","2.0",2021-08-12,2021-08-12,1899-12-31 12:56:00,"flood",NA,"GEL",NA,NA,NA
"3987","1180","CC","ISCO","16.0","TOC",1,11.97,"mg/L","1.0",2021-08-12,2021-08-12,1899-12-31 14:56:00,"flood",NA,"GEL",NA,NA,NA
"3988","1181","CC","ISCO","19.0","TOC",1,10.89,"mg/L","2.0",2021-08-12,2021-08-12,1899-12-31 17:56:00,"flood",NA,"GEL",NA,NA,NA
"3989","1182","CC","ISCO","19.0","TOC",1,10.89,"mg/L","1.0",2021-08-12,2021-08-12,1899-12-31 17:56:00,"flood",NA,"GEL",NA,NA,NA
"3990","1183","CC","ISCO","17.0","TOC",1,10.72,"mg/L","1.0",2021-08-12,2021-08-12,1899-12-31 15:56:00,"flood",NA,"GEL",NA,NA,NA
"3991","1184","CC","ISCO","17.0","TOC",1,8.627,"mg/L","2.0",2021-08-12,2021-08-12,1899-12-31 15:56:00,"flood",NA,"GEL",NA,NA,NA
"3992","1185","CC","ISCO","16.0","TOC",1,10.76,"mg/L","2.0",2021-08-12,2021-08-12,1899-12-31 14:56:00,"flood",NA,"GEL",NA,NA,NA
"3993","1186","CC","ISCO","20.0","TOC",1,10.94,"mg/L","1.0",2021-08-12,2021-08-12,1899-12-31 18:56:00,"flood",NA,"GEL",NA,NA,NA
"3994","1187","CC","ISCO","20.0","TOC",1,11.13,"mg/L","2.0",2021-08-12,2021-08-12,1899-12-31 18:56:00,"flood",NA,"GEL",NA,NA,NA
"3995","1188","CC","ISCO","21.0","TOC",1,10.86,"mg/L","2.0",2021-08-12,2021-08-12,1899-12-31 19:56:00,"flood",NA,"GEL",NA,NA,NA
"3996","1189","CC","ISCO","21.0","TOC",1,13.1,"mg/L","1.0",2021-08-12,2021-08-12,1899-12-31 19:56:00,"flood",NA,"GEL",NA,NA,NA
"3997","1190","CC","ISCO","22.0","TOC",1,11.03,"mg/L","1.0",2021-08-12,2021-08-12,1899-12-31 20:56:00,"flood",NA,"GEL",NA,NA,NA
"3998","1191","CC","ISCO","22.0","TOC",1,11.01,"mg/L","2.0",2021-08-12,2021-08-12,1899-12-31 20:56:00,"flood",NA,"GEL",NA,NA,NA
"3999","1192","CC","ISCO","23.0","TOC",1,10.92,"mg/L","1.0",2021-08-12,2021-08-12,1899-12-31 21:56:00,"flood",NA,"GEL",NA,NA,NA
"4000","1193","CC","ISCO","23.0","TOC",1,10.96,"mg/L","2.0",2021-08-12,2021-08-12,1899-12-31 21:56:00,"flood",NA,"GEL",NA,NA,NA
"4001","1194","BMW","ISCO","6.0","TOC",1,51.68,"mg/L","1.0",2021-07-31,2021-07-31,1899-12-31 02:57:00,"flood",NA,"GEL",NA,NA,NA
