"SampleID","DateTime","Site","Type","Bottle_number","Event_Date","Stage","DOC_mgL","SRP_ugL","TC_mgL","TDP_mgL","TN_mgL","ions_uM","TOC_mgL","N_DOC_mgL","N_NH4_mgNL","N_SRP_ugL","N_TC_mgL","N_TDP_mgL","N_TN_mgL","N_ions_uM","N_Chloride_mgL","N_NO3_mgNL","N_TOC_mgL","NH4N_color_mgL","Cl_color_mgL","NO3N_color_mgL"
"104",2021-08-18 19:43:00,"SS","ISCO","18.0",2021-08-18,"flood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1040",2021-08-12 15:56:00,"CC","ISCO","17.0",2021-08-12,"flood",10.51,NA,NA,NA,3.516,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"1041",2021-09-01 14:14:00,"RC","ISCO","2.0",2021-09-01,"flood",6.947,NA,NA,NA,0.004,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"1042",2021-09-01 14:29:00,"RC","ISCO","3.0",2021-09-01,"flood",6.793,NA,NA,NA,0.502,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"1043",2021-09-01 14:14:00,"RC","ISCO","2.0",2021-09-01,"flood",6.467,NA,NA,NA,0.004,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"1044",2021-08-12 17:56:00,"CC","ISCO","19.0",2021-08-12,"flood",8.836,NA,NA,NA,1.963,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"1045",2021-08-12 17:56:00,"CC","ISCO","19.0",2021-08-12,"flood",10.92,NA,NA,NA,4.241,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"1046",2021-07-31 04:27:00,"BMW","ISCO","12.0",2021-07-31,"flood",47.93,NA,NA,NA,3.73,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"1047",2021-07-26 01:20:00,"CC","ISCO","19.0",2021-07-25,"flood",10.11,NA,NA,NA,7.097,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"1048",2021-09-01 14:44:00,"RC","ISCO","4.0",2021-09-01,"flood",7.441,NA,NA,NA,0.9812,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
