"","SampleID","DateTime","Site","Analyte","Type","Bottle_number","Event_Date","Stage","N","final_conc"
"81","1033",2021-08-12 11:10:00,"CC","DOC_mgL","ISCO","17.0",2021-08-12,"flood",1,20.55
"82","1033",2021-08-12 11:10:00,"CC","TN_mgL","ISCO","17.0",2021-08-12,"flood",1,2.424
"83","1034",2021-08-12 11:10:00,"CC","DOC_mgL","ISCO","10.0",2021-08-12,"flood",1,8.053
"84","1034",2021-08-12 11:10:00,"CC","TN_mgL","ISCO","10.0",2021-08-12,"flood",1,2.256
"85","1035",2021-08-12 11:10:00,"CC","DOC_mgL","ISCO","10.0",2021-08-12,"flood",1,7.344
"86","1035",2021-08-12 11:10:00,"CC","TN_mgL","ISCO","10.0",2021-08-12,"flood",1,2.032
"87","1036",2021-08-12 18:56:00,"CC","DOC_mgL","ISCO","20.0",2021-08-12,"flood",1,8.325
"88","1036",2021-08-12 18:56:00,"CC","TN_mgL","ISCO","20.0",2021-08-12,"flood",1,2.331
"89","1037",2021-08-12 18:56:00,"CC","DOC_mgL","ISCO","20.0",2021-08-12,"flood",1,9.134
"90","1037",2021-08-12 18:56:00,"CC","TN_mgL","ISCO","20.0",2021-08-12,"flood",1,2.55
"91","1038",2021-08-12 11:56:00,"CC","DOC_mgL","ISCO","13.0",2021-08-12,"flood",1,7.105
"92","1038",2021-08-12 11:56:00,"CC","TN_mgL","ISCO","13.0",2021-08-12,"flood",1,1.898
"93","1039",2021-08-12 11:56:00,"CC","DOC_mgL","ISCO","13.0",2021-08-12,"flood",1,7.341
"94","1039",2021-08-12 11:56:00,"CC","TN_mgL","ISCO","13.0",2021-08-12,"flood",1,2.887
"95","104",2020-08-27 10:30:00,"SS","DOC_mgL","GRAB",NA,NA,"baseflow",1,2.486
"96","104",2020-08-27 10:30:00,"SS","SRP_ugL","GRAB",NA,NA,"baseflow",1,48.4
"97","104",2020-08-27 10:30:00,"SS","TN_mgL","GRAB",NA,NA,"baseflow",1,0.004
"98","104",2021-08-18 19:43:00,"SS","TC_mgL","ISCO","18.0",2021-08-18,"flood",2,NA
"99","1040",2021-08-12 15:56:00,"CC","DOC_mgL","ISCO","17.0",2021-08-12,"flood",1,10.51
"100","1040",2021-08-12 15:56:00,"CC","TN_mgL","ISCO","17.0",2021-08-12,"flood",1,3.516
"101","1041",2021-09-01 14:14:00,"RC","DOC_mgL","ISCO","2.0",2021-09-01,"flood",1,6.947
"102","1041",2021-09-01 14:14:00,"RC","TN_mgL","ISCO","2.0",2021-09-01,"flood",1,0.004
"103","1042",2021-09-01 14:29:00,"RC","DOC_mgL","ISCO","3.0",2021-09-01,"flood",1,6.793
"104","1042",2021-09-01 14:29:00,"RC","TN_mgL","ISCO","3.0",2021-09-01,"flood",1,0.502
"105","1043",2021-09-01 14:14:00,"RC","DOC_mgL","ISCO","2.0",2021-09-01,"flood",1,6.467
"106","1043",2021-09-01 14:14:00,"RC","TN_mgL","ISCO","2.0",2021-09-01,"flood",1,0.004
"107","1044",2021-08-12 17:56:00,"CC","DOC_mgL","ISCO","19.0",2021-08-12,"flood",1,8.836
"108","1044",2021-08-12 17:56:00,"CC","TN_mgL","ISCO","19.0",2021-08-12,"flood",1,1.963
"109","1045",2021-08-12 17:56:00,"CC","DOC_mgL","ISCO","19.0",2021-08-12,"flood",1,10.92
"110","1045",2021-08-12 17:56:00,"CC","TN_mgL","ISCO","19.0",2021-08-12,"flood",1,4.241
"111","1046",2021-07-31 04:27:00,"BMW","DOC_mgL","ISCO","12.0",2021-07-31,"flood",1,47.93
"112","1046",2021-07-31 04:27:00,"BMW","TN_mgL","ISCO","12.0",2021-07-31,"flood",1,3.73
"113","1047",2021-07-26 01:20:00,"CC","DOC_mgL","ISCO","19.0",2021-07-25,"flood",1,10.11
"114","1047",2021-07-26 01:20:00,"CC","TN_mgL","ISCO","19.0",2021-07-25,"flood",1,7.097
