Sample_ID,Measurement_type,Site_abbreviation,Dilution,Event_date_time,Mean_measurement,n
104,CL_mg/L,SS,1,2020-08-27T10:30:00Z,9.16,1
104,DOC_mg/L,SS,1,2020-08-27T10:30:00Z,2.486,1
104,NH4_mg/L,SS,1,2020-08-27T10:30:00Z,0.001,1
104,NO3_mg/L,SS,1,2020-08-27T10:30:00Z,0.0658,1
104,SRP_ug/L,SS,1,2020-08-27T10:30:00Z,48.4,1
104,TN_mg/L,SS,1,2020-08-27T10:30:00Z,0.2879,1
105,CL_mg/L,SS,1,2020-08-27T10:30:00Z,9.38,1
105,DOC_mg/L,SS,1,2020-08-27T10:30:00Z,3.173,1
105,NH4_mg/L,SS,1,2020-08-27T10:30:00Z,0.0498,1
105,NO3_mg/L,SS,1,2020-08-27T10:30:00Z,0.0416,1
105,SRP_ug/L,SS,1,2020-08-27T10:30:00Z,37.2,1
105,TN_mg/L,SS,1,2020-08-27T10:30:00Z,0.4544,1
106,CL_mg/L,UPSS,1,2020-08-31T08:45:00Z,7.93,1
106,DOC_mg/L,UPSS,1,2020-08-31T08:45:00Z,48.45,1
106,NH4_mg/L,UPSS,1,2020-08-31T08:45:00Z,0.617,1
106,NO3_mg/L,UPSS,1,2020-08-31T08:45:00Z,0.616,1
106,SRP_ug/L,UPSS,1,2020-08-31T08:45:00Z,65.3,1
106,TN_mg/L,UPSS,1,2020-08-31T08:45:00Z,5.831,1
107,CL_mg/L,UPSS,1,2020-08-31T08:45:00Z,10.9,1
107,DOC_mg/L,UPSS,1,2020-08-31T08:45:00Z,71.26,1
107,NH4_mg/L,UPSS,1,2020-08-31T08:45:00Z,0.529,1
107,NO3_mg/L,UPSS,1,2020-08-31T08:45:00Z,0.327,1
107,SRP_ug/L,UPSS,1,2020-08-31T08:45:00Z,90.3,1
107,TN_mg/L,UPSS,1,2020-08-31T08:45:00Z,9.262,1
108,CL_mg/L,UPSS,1,2020-08-31T08:45:00Z,11.5,1
